# linux 2026-09-26, Arch kernel 7.2.5-3-omarchy, Hyprland 0.56.2, build 2b80500a (lane plan-0223), tier rich and grid_scale 1.0 set by [quality] in config.toml
# renderer adapter: AMD Radeon Graphics (RADV RENOIR) (Vulkan, IntegratedGpu), driver radv Mesa 26.2.2-arch1.1 (pinned by --gpu)
# live, 32 s per preset, first 6 samples dropped, music playing; live-presets.sh's loop with each window placed by address on workspace 9
# window 1536x864 fl = floating at 1920x1080 physical (Hyprland logical at scale 1.25); 2048x1152 fs2 = fullscreen at the panel's native 2560x1440
gpu	preset	window	samples	fps_med	fps_min	avg_ms_med	p99_ms_med	p99_ms_max	dropped	samples_under_60
AMD	Nebula	1536x864 fs0 fltrue	23	41.8	41.5	23.90	31.58	32.01	0	23
AMD	Leviathan	1536x864 fs0 fltrue	23	43.2	42.9	23.15	26.64	27.01	0	23
AMD	Clifford	1536x864 fs0 fltrue	23	50.1	48.5	19.96	23.13	23.69	0	23
AMD	Volute	1536x864 fs0 fltrue	23	79.5	59.8	12.59	18.60	24.59	0	1
AMD	Dragon	1536x864 fs0 fltrue	23	69.2	65.7	14.46	16.55	17.63	0	0
AMD	Ink on Paper	1536x864 fs0 fltrue	23	65.4	61.2	15.29	18.93	20.27	0	0
AMD	Barnsley Fern	1536x864 fs0 fltrue	23	76.1	69.9	13.14	18.81	19.11	0	0
AMD	Braid	1536x864 fs0 fltrue	23	109.9	109.9	9.10	13.37	13.62	0	0
AMD	Murmuration	1536x864 fs0 fltrue	23	117.4	113.4	8.52	13.00	13.14	0	0
AMD	Shatter	1536x864 fs0 fltrue	23	139.4	126.8	7.17	13.00	13.25	0	0
AMD	Nebula	2048x1152 fs2 flfalse	23	26.5	26.3	37.80	44.03	44.27	0	23
AMD	Leviathan	2048x1152 fs2 flfalse	23	27.5	27.3	36.37	40.83	42.67	0	23
AMD	Clifford	2048x1152 fs2 flfalse	23	31.9	31.0	31.35	34.74	35.90	0	23
AMD	Volute	2048x1152 fs2 flfalse	23	53.6	39.6	18.66	25.62	30.28	0	15
AMD	Dragon	2048x1152 fs2 flfalse	23	46.1	43.2	21.70	25.73	27.33	0	23
AMD	Ink on Paper	2048x1152 fs2 flfalse	23	41.4	39.7	24.13	31.53	31.81	0	23
AMD	Barnsley Fern	2048x1152 fs2 flfalse	23	48.5	46.9	20.62	24.14	25.28	0	23
AMD	Braid	2048x1152 fs2 flfalse	23	78.3	72.7	12.77	14.28	15.09	0	0
AMD	Murmuration	2048x1152 fs2 flfalse	23	86.2	83.3	11.59	13.10	13.77	0	0
AMD	Shatter	2048x1152 fs2 flfalse	23	109.6	103.0	9.12	13.36	13.81	0	0
