# linux 2026-09-26, Arch kernel 7.2.5-3-omarchy, Hyprland 0.56.2, build 2b80500a (lane plan-0223), tier floor and grid_scale 0.5 set by [quality] in config.toml
# renderer adapter: AMD Radeon Graphics (RADV RENOIR) (Vulkan, IntegratedGpu), driver radv Mesa 26.2.2-arch1.1 (pinned by --gpu)
# live, 32 s per preset, first 6 samples dropped, music playing; live-presets.sh's loop with each window placed by address on workspace 9
# window 1536x864 fl = floating at 1920x1080 physical (Hyprland logical at scale 1.25); 2048x1152 fs2 = fullscreen at the panel's native 2560x1440
gpu	preset	window	samples	fps_med	fps_min	avg_ms_med	p99_ms_med	p99_ms_max	dropped	samples_under_60
AMD	Nebula	1536x864 fs0 fltrue	23	164.9	164.8	6.07	6.55	6.78	0	0
AMD	Leviathan	1536x864 fs0 fltrue	23	164.9	164.8	6.07	6.53	6.75	0	0
AMD	Clifford	1536x864 fs0 fltrue	23	164.9	164.9	6.06	6.54	6.64	0	0
AMD	Volute	1536x864 fs0 fltrue	23	164.9	164.9	6.06	6.40	6.57	0	0
AMD	Dragon	1536x864 fs0 fltrue	23	164.9	164.9	6.06	6.44	6.61	0	0
AMD	Ink on Paper	1536x864 fs0 fltrue	23	164.9	164.9	6.06	6.28	6.36	0	0
AMD	Barnsley Fern	1536x864 fs0 fltrue	23	164.9	164.9	6.07	6.43	6.56	0	0
AMD	Braid	1536x864 fs0 fltrue	23	164.9	164.8	6.06	6.53	6.67	0	0
AMD	Murmuration	1536x864 fs0 fltrue	23	164.9	164.8	6.06	6.51	6.72	0	0
AMD	Shatter	1536x864 fs0 fltrue	23	164.9	164.8	6.06	6.61	6.92	0	0
AMD	Nebula	2048x1152 fs2 flfalse	23	143.4	142.4	6.97	12.57	12.86	0	0
AMD	Leviathan	2048x1152 fs2 flfalse	23	122.2	121.4	8.19	12.63	13.08	0	0
AMD	Clifford	2048x1152 fs2 flfalse	23	140.3	132.4	7.13	12.66	13.16	0	0
AMD	Volute	2048x1152 fs2 flfalse	23	164.9	164.8	6.07	6.44	6.64	0	0
AMD	Dragon	2048x1152 fs2 flfalse	23	164.9	164.9	6.06	6.47	6.74	0	0
AMD	Ink on Paper	2048x1152 fs2 flfalse	23	164.9	164.8	6.06	6.28	6.38	0	0
AMD	Barnsley Fern	2048x1152 fs2 flfalse	23	164.9	164.9	6.06	6.41	6.62	0	0
AMD	Braid	2048x1152 fs2 flfalse	23	164.9	164.8	6.06	6.51	7.10	0	0
AMD	Murmuration	2048x1152 fs2 flfalse	23	164.9	164.8	6.06	6.57	6.73	0	0
AMD	Shatter	2048x1152 fs2 flfalse	23	164.9	164.8	6.06	6.42	6.54	0	0
