# linux 2026-09-26, Arch kernel 7.2.5-3-omarchy, Hyprland 0.56.2, build 2b80500a (lane plan-0223), tier rich and grid_scale 0.5 set by [quality] in config.toml
# renderer adapter: AMD Radeon Graphics (RADV RENOIR) (Vulkan, IntegratedGpu), driver radv Mesa 26.2.2-arch1.1 (pinned by --gpu)
# live, 32 s per preset, first 6 samples dropped, music playing; live-presets.sh's loop with each window placed by address on workspace 9
# window 1536x864 fl = floating at 1920x1080 physical (Hyprland logical at scale 1.25); 2048x1152 fs2 = fullscreen at the panel's native 2560x1440
gpu	preset	window	samples	fps_med	fps_min	avg_ms_med	p99_ms_med	p99_ms_max	dropped	samples_under_60
AMD	Nebula	1536x864 fs0 fltrue	23	124.0	122.9	8.06	12.57	13.00	0	0
AMD	Leviathan	1536x864 fs0 fltrue	23	118.8	117.1	8.41	12.71	13.03	0	0
AMD	Clifford	1536x864 fs0 fltrue	23	134.2	132.4	7.45	12.95	13.53	0	0
AMD	Volute	1536x864 fs0 fltrue	23	164.9	148.2	6.07	6.76	12.52	0	0
AMD	Dragon	1536x864 fs0 fltrue	23	162.2	141.9	6.17	12.22	12.90	0	0
AMD	Ink on Paper	1536x864 fs0 fltrue	23	164.9	164.9	6.06	6.34	6.41	0	0
AMD	Barnsley Fern	1536x864 fs0 fltrue	23	164.9	164.2	6.06	6.69	7.21	0	0
AMD	Braid	1536x864 fs0 fltrue	23	164.9	162.2	6.07	6.66	11.02	0	0
AMD	Murmuration	1536x864 fs0 fltrue	23	164.9	164.8	6.07	6.65	6.93	0	0
AMD	Shatter	1536x864 fs0 fltrue	23	164.9	164.8	6.07	6.51	6.80	0	0
AMD	Nebula	2048x1152 fs2 flfalse	23	59.0	58.7	16.95	19.43	19.85	0	23
AMD	Leviathan	2048x1152 fs2 flfalse	23	60.1	59.5	16.65	19.29	24.67	0	5
AMD	Clifford	2048x1152 fs2 flfalse	23	66.2	64.3	15.10	17.41	18.14	0	0
AMD	Volute	2048x1152 fs2 flfalse	23	107.2	76.1	9.32	13.41	19.23	0	0
AMD	Dragon	2048x1152 fs2 flfalse	23	85.8	79.2	11.66	14.14	14.92	0	0
AMD	Ink on Paper	2048x1152 fs2 flfalse	23	104.7	98.0	9.55	12.69	12.96	0	0
AMD	Barnsley Fern	2048x1152 fs2 flfalse	23	96.5	93.8	10.36	12.99	13.40	0	0
AMD	Braid	2048x1152 fs2 flfalse	23	132.4	125.6	7.55	12.71	13.01	0	0
AMD	Murmuration	2048x1152 fs2 flfalse	23	136.0	128.5	7.35	12.77	12.85	0	0
AMD	Shatter	2048x1152 fs2 flfalse	23	164.9	158.3	6.07	6.81	12.52	0	0
